artists,artists_id
"['Easley Blackwood', 'Erik Satie', 'Yoshikazu Mera', 'Masayuki Kino', 'Japan Philharmonic Orchestra', 'Shiego Genda']","['spotify:artist:6B20VnsoSar53c6VaXR3Ho', 'spotify:artist:459INk8vcC0ebEef82WjIK', 'spotify:artist:1gMSjp1uxOKC3VWRTWKaJ2', 'spotify:artist:6BIDwUKlqVhdNjn9QJWMGx', 'spotify:artist:2mRcW1hyPk87K7KiBdLyc6', 'spotify:artist:5oxuoC0xeBpGjRabXviixm']"
The Police,spotify:artist:5NGO30tJxFlKixkPSgXcFE
Chris Isaak,spotify:artist:7290H8m1Dwt8G7jm1y9CQx
Alphaville,spotify:artist:0xliTEbFfy5HQHvsTknTkX
Stimming,spotify:artist:2yPveJtn9DpeN0CgNJHvAQ
Stimming,spotify:artist:2yPveJtn9DpeN0CgNJHvAQ
"['Kiasmos', 'Stimming']","['spotify:artist:6X8lhZ7YaRUBlOsOYimlyD', 'spotify:artist:2yPveJtn9DpeN0CgNJHvAQ']"
"['Yoko Duo', 'Stimming']","['spotify:artist:3qS9rCN3k1e6uBRYzuxqAf', 'spotify:artist:2yPveJtn9DpeN0CgNJHvAQ']"
Stimming,spotify:artist:2yPveJtn9DpeN0CgNJHvAQ
"['Damian Lazarus', 'Damian Lazarus & The Ancient Moons']","['spotify:artist:3EIJ8wiUHbgkRCt5cpRrQv', 'spotify:artist:6eWDcQUkr1JSLQLn5j6dsc']"
"['Antonio Vivaldi', 'Sergio Azzolini', ""L'Onda Armonica""]","['spotify:artist:2QOIawHpSlOwXDvSqQ9YJR', 'spotify:artist:2KRM0wRlbmr3CHGZRjO1Yd', 'spotify:artist:5KzLFQNT1G5I1Xeeo6Gasi']"
WhoMadeWho,spotify:artist:50Lr1puweM1hFsF1LpIZLM
Martin Roth,spotify:artist:4LoSbPey3kklzX5f2KEks1
Nicolas Jaar,spotify:artist:5a0etAzO5V26gvlbmHzT9W
The Singers Unlimited,spotify:artist:3RsROIs1zuuC3lwIdhJ0if
"['David Christiansen', 'Stimming', 'Bernd Ruf']","['spotify:artist:0flp57XCzp6CpsLWLLTt85', 'spotify:artist:2yPveJtn9DpeN0CgNJHvAQ', 'spotify:artist:3nFrcJXxwyWvaMyH2X72Qo']"
Khruangbin,spotify:artist:2mVVjNmdjXZZDvhgQWiakk
Time,spotify:artist:121kK4qdKVJMI8kIFIPbag
Nicolas Jaar,spotify:artist:5a0etAzO5V26gvlbmHzT9W
"['Johann Sebastian Bach', 'Yo-Yo Ma']","['spotify:artist:5aIqB5nVVvmFsvSdExz408', 'spotify:artist:5Dl3HXZjG6ZOWT5cV375lk']"
Chet Baker,spotify:artist:3rxeQlsv0Sc2nyYaZ5W71T
"['Gesaffelstein', 'The Weeknd']","['spotify:artist:3hteYQFiMFbJY7wS0xDymP', 'spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ']"
"['Vermont', 'Dixon']","['spotify:artist:4g1pqB36gtNg1XBQ5iGFIV', 'spotify:artist:3wc57nV2fGEoM8x4xPK1O9']"
"['Manoo', 'Ahmed Sosso', 'Mr Raoul K', 'Dixon']","['spotify:artist:0SWJzERYiO2LLxoUqMXDsz', 'spotify:artist:09jtkgopdNOFuQKcOPPdeP', 'spotify:artist:2ErWVVcMH1io3Au40dTKnG', 'spotify:artist:3wc57nV2fGEoM8x4xPK1O9']"
Fritz Kalkbrenner,spotify:artist:08Ut1tYxtmgIInVyQqohkM
Fritz Kalkbrenner,spotify:artist:08Ut1tYxtmgIInVyQqohkM
Fritz Kalkbrenner,spotify:artist:08Ut1tYxtmgIInVyQqohkM
Yusuf / Cat Stevens,spotify:artist:08F3Y3SctIlsOEmKd6dnH8
"['Jan Blomqvist', 'Boris Brejcha']","['spotify:artist:5wMlMjOLeJfS5DfxqGfm83', 'spotify:artist:6caPJFLv1wesmM7gwK1ACy']"
Hombres G,spotify:artist:60uh2KYYSCqAgJNxcU4DA0
